2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-28 11:42:03; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-28 11:42:06; INFO; GameVisual Plugin; 6416; 12868] GameVisualPlugin::ResetGVMode(): SetGVModeCoreNoCheck(11) Result = 0
2024-06-28 11:42:27; INFO; Loopback Stream; 6416; 35204] CallLibrary Start
2024-06-28 11:42:27; INFO; Loopback Stream; 6416; 35204] CallLibrary End
2024-06-28 11:42:57; INFO; Loopback Stream; 6416; 2712] CallLibrary Start
2024-06-28 11:42:57; INFO; Loopback Stream; 6416; 2712] CallLibrary End
2024-06-28 11:43:27; INFO; Loopback Stream; 6416; 34504] CallLibrary Start
2024-06-28 11:43:27; INFO; Loopback Stream; 6416; 34504] CallLibrary End
2024-06-28 11:43:57; INFO; Loopback Stream; 6416; 28420] CallLibrary Start
2024-06-28 11:43:57; INFO; Loopback Stream; 6416; 28420] CallLibrary End
2024-06-28 11:44:03; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 11:44:03; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 11:44:03; INFO; Aura Pluing; 6416; 11484] ATK registry Update !!!
2024-06-28 11:44:03; INFO; Aura Pluing; 6416; 11484] CallLibrary Start
2024-06-28 11:44:03; INFO; Aura Pluing; 6416; 11484] CallLibrary End
2024-06-28 11:44:03; ERROR; Aura Pluing; 6416; 11484] [AuraPlugin][RequestPlugin] FAILED!!! ret = 0xa0800006
2024-06-28 11:44:03; INFO; Aura Pluing; 6416; 11484] ATK registry Update !!!
2024-06-28 11:44:04; INFO; Aura Pluing; 6416; 11484] ATK registry Update !!!
2024-06-28 11:44:05; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage Start
2024-06-28 11:44:05; INFO; User Session Manager; 6416; 5828] OnRegisteredWindowMessage End
2024-06-28 11:44:05; INFO; Utility Plugin; 6416; 12068] CallLibrary Start
2024-06-28 11:44:05; INFO; Utility Plugin; 6416; 12068] CallLibrary End
2024-06-28 11:44:27; INFO; Loopback Stream; 6416; 30444] CallLibrary Start
2024-06-28 11:44:27; INFO; Loopback Stream; 6416; 30444] CallLibrary End
2024-06-28 11:44:57; INFO; Loopback Stream; 6416; 22172] CallLibrary Start
2024-06-28 11:44:57; INFO; Loopback Stream; 6416; 22172] CallLibrary End
2024-06-28 11:45:27; INFO; Loopback Stream; 6416; 16276] CallLibrary Start
2024-06-28 11:45:27; INFO; Loopback Stream; 6416; 16276] CallLibrary End
2024-06-28 11:45:35; INFO; Aura Pluing; 6416; 11300] [AuraListener] DataCollection24hr Trigger data collection !!
2024-06-28 11:45:35; INFO; Aura Pluing; 6416; 11300] Start InsertData to UserBehavior.
2024-06-28 11:45:35; INFO; Aura Pluing; 6416; 11300] CallLibrary Start
2024-06-28 11:45:35; INFO; Aura Pluing; 6416; 11300] CallLibrary End
2024-06-28 11:45:35; INFO; Aura Pluing; 6416; 11300] CallLibrary Start
2024-06-28 11:45:36; INFO; Aura Pluing; 6416; 11300] CallLibrary End
2024-06-28 11:45:36; ERROR; Aura Pluing; 6416; 11300] End InsertData to AuraPlugin, result:0x80004005.
2024-06-28 11:45:57; INFO; Loopback Stream; 6416; 34656] CallLibrary Start
2024-06-28 11:45:57; INFO; Loopback Stream; 6416; 34656] CallLibrary End
2024-06-28 11:46:12; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-28 11:46:12; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-28 11:46:12; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display is dimmed
2024-06-28 11:46:27; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-28 11:46:27; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-28 11:46:27; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display Off
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] close display, notify bios bitlocker status
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-28 11:46:27; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-28 11:49:35; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-28 11:49:35; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-28 11:49:35; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] open display notiy bios bitlocker status
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-28 11:49:35; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-28 11:49:42; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 11:49:42; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 11:49:42; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 11:49:42; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 11:49:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 11:49:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 11:49:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 11:49:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 11:50:00; INFO; Loopback Stream; 6416; 34360] CallLibrary Start
2024-06-28 11:50:00; INFO; Loopback Stream; 6416; 34360] CallLibrary End
2024-06-28 11:50:30; INFO; Loopback Stream; 6416; 17072] CallLibrary Start
2024-06-28 11:50:30; INFO; Loopback Stream; 6416; 17072] CallLibrary End
2024-06-28 11:51:00; INFO; Loopback Stream; 6416; 7268] CallLibrary Start
2024-06-28 11:51:00; INFO; Loopback Stream; 6416; 7268] CallLibrary End
2024-06-28 11:51:30; INFO; Loopback Stream; 6416; 28248] CallLibrary Start
2024-06-28 11:51:30; INFO; Loopback Stream; 6416; 28248] CallLibrary End
2024-06-28 11:52:00; INFO; Loopback Stream; 6416; 32824] CallLibrary Start
2024-06-28 11:52:00; INFO; Loopback Stream; 6416; 32824] CallLibrary End
2024-06-28 11:52:30; INFO; Loopback Stream; 6416; 35524] CallLibrary Start
2024-06-28 11:52:30; INFO; Loopback Stream; 6416; 35524] CallLibrary End
2024-06-28 11:53:00; INFO; Loopback Stream; 6416; 33308] CallLibrary Start
2024-06-28 11:53:00; INFO; Loopback Stream; 6416; 33308] CallLibrary End
2024-06-28 11:53:30; INFO; Loopback Stream; 6416; 9768] CallLibrary Start
2024-06-28 11:53:30; INFO; Loopback Stream; 6416; 9768] CallLibrary End
2024-06-28 11:54:00; INFO; Loopback Stream; 6416; 9696] CallLibrary Start
2024-06-28 11:54:00; INFO; Loopback Stream; 6416; 9696] CallLibrary End
2024-06-28 11:54:30; INFO; Loopback Stream; 6416; 24128] CallLibrary Start
2024-06-28 11:54:30; INFO; Loopback Stream; 6416; 24128] CallLibrary End
2024-06-28 11:54:42; WARNING; AEF Core; 6416; 12456] Get Asus Device Change Message msg:7, device:64, modelname:FX506HE, id:
2024-06-28 11:54:42; INFO; Aura Pluing; 6416; 12456] CallLibrary Start
2024-06-28 11:54:42; INFO; Aura Pluing; 6416; 12456] CallLibrary End
2024-06-28 11:55:00; INFO; Loopback Stream; 6416; 30116] CallLibrary Start
2024-06-28 11:55:00; INFO; Loopback Stream; 6416; 30116] CallLibrary End
2024-06-28 11:55:30; INFO; Loopback Stream; 6416; 31800] CallLibrary Start
2024-06-28 11:55:30; INFO; Loopback Stream; 6416; 31800] CallLibrary End
2024-06-28 11:56:00; INFO; Loopback Stream; 6416; 31732] CallLibrary Start
2024-06-28 11:56:00; INFO; Loopback Stream; 6416; 31732] CallLibrary End
2024-06-28 11:56:30; INFO; Loopback Stream; 6416; 33448] CallLibrary Start
2024-06-28 11:56:30; INFO; Loopback Stream; 6416; 33448] CallLibrary End
2024-06-28 11:57:00; INFO; Loopback Stream; 6416; 31960] CallLibrary Start
2024-06-28 11:57:00; INFO; Loopback Stream; 6416; 31960] CallLibrary End
2024-06-28 11:57:30; INFO; Loopback Stream; 6416; 27832] CallLibrary Start
2024-06-28 11:57:30; INFO; Loopback Stream; 6416; 27832] CallLibrary End
2024-06-28 11:58:00; INFO; Loopback Stream; 6416; 4608] CallLibrary Start
2024-06-28 11:58:00; INFO; Loopback Stream; 6416; 4608] CallLibrary End
2024-06-28 11:58:31; INFO; Loopback Stream; 6416; 24540] CallLibrary Start
2024-06-28 11:58:31; INFO; Loopback Stream; 6416; 24540] CallLibrary End
2024-06-28 11:59:01; INFO; Loopback Stream; 6416; 29800] CallLibrary Start
2024-06-28 11:59:01; INFO; Loopback Stream; 6416; 29800] CallLibrary End
2024-06-28 11:59:31; INFO; Loopback Stream; 6416; 35352] CallLibrary Start
2024-06-28 11:59:31; INFO; Loopback Stream; 6416; 35352] CallLibrary End
2024-06-28 12:00:01; INFO; Loopback Stream; 6416; 32116] CallLibrary Start
2024-06-28 12:00:01; INFO; Loopback Stream; 6416; 32116] CallLibrary End
2024-06-28 12:00:31; INFO; Loopback Stream; 6416; 14612] CallLibrary Start
2024-06-28 12:00:31; INFO; Loopback Stream; 6416; 14612] CallLibrary End
2024-06-28 12:00:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 12:00:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 12:01:01; INFO; Loopback Stream; 6416; 27360] CallLibrary Start
2024-06-28 12:01:01; INFO; Loopback Stream; 6416; 27360] CallLibrary End
2024-06-28 12:01:31; INFO; Loopback Stream; 6416; 24300] CallLibrary Start
2024-06-28 12:01:31; INFO; Loopback Stream; 6416; 24300] CallLibrary End
2024-06-28 12:02:01; INFO; Loopback Stream; 6416; 34672] CallLibrary Start
2024-06-28 12:02:01; INFO; Loopback Stream; 6416; 34672] CallLibrary End
2024-06-28 12:02:31; INFO; Loopback Stream; 6416; 10020] CallLibrary Start
2024-06-28 12:02:31; INFO; Loopback Stream; 6416; 10020] CallLibrary End
2024-06-28 12:03:01; INFO; Loopback Stream; 6416; 33264] CallLibrary Start
2024-06-28 12:03:01; INFO; Loopback Stream; 6416; 33264] CallLibrary End
2024-06-28 12:03:31; INFO; Loopback Stream; 6416; 5324] CallLibrary Start
2024-06-28 12:03:31; INFO; Loopback Stream; 6416; 5324] CallLibrary End
2024-06-28 12:04:01; INFO; Loopback Stream; 6416; 16988] CallLibrary Start
2024-06-28 12:04:01; INFO; Loopback Stream; 6416; 16988] CallLibrary End
2024-06-28 12:04:31; INFO; Loopback Stream; 6416; 23504] CallLibrary Start
2024-06-28 12:04:31; INFO; Loopback Stream; 6416; 23504] CallLibrary End
2024-06-28 12:05:01; INFO; Loopback Stream; 6416; 33320] CallLibrary Start
2024-06-28 12:05:01; INFO; Loopback Stream; 6416; 33320] CallLibrary End
2024-06-28 12:05:31; INFO; Loopback Stream; 6416; 18332] CallLibrary Start
2024-06-28 12:05:31; INFO; Loopback Stream; 6416; 18332] CallLibrary End
2024-06-28 12:06:01; INFO; Loopback Stream; 6416; 22076] CallLibrary Start
2024-06-28 12:06:01; INFO; Loopback Stream; 6416; 22076] CallLibrary End
2024-06-28 12:06:31; INFO; Loopback Stream; 6416; 23252] CallLibrary Start
2024-06-28 12:06:31; INFO; Loopback Stream; 6416; 23252] CallLibrary End
2024-06-28 12:07:01; INFO; Loopback Stream; 6416; 25076] CallLibrary Start
2024-06-28 12:07:01; INFO; Loopback Stream; 6416; 25076] CallLibrary End
2024-06-28 12:07:31; INFO; Loopback Stream; 6416; 3904] CallLibrary Start
2024-06-28 12:07:31; INFO; Loopback Stream; 6416; 3904] CallLibrary End
2024-06-28 12:07:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 12:07:43; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 12:07:44; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-28 12:07:44; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-28 12:08:01; INFO; Loopback Stream; 6416; 24268] CallLibrary Start
2024-06-28 12:08:01; INFO; Loopback Stream; 6416; 24268] CallLibrary End
2024-06-28 12:08:31; INFO; Loopback Stream; 6416; 28900] CallLibrary Start
2024-06-28 12:08:31; INFO; Loopback Stream; 6416; 28900] CallLibrary End
2024-06-28 12:09:01; INFO; Loopback Stream; 6416; 6428] CallLibrary Start
2024-06-28 12:09:01; INFO; Loopback Stream; 6416; 6428] CallLibrary End
2024-06-28 12:09:31; INFO; Loopback Stream; 6416; 32412] CallLibrary Start
2024-06-28 12:09:31; INFO; Loopback Stream; 6416; 32412] CallLibrary End
2024-06-28 12:10:01; INFO; Loopback Stream; 6416; 30024] CallLibrary Start
2024-06-28 12:10:01; INFO; Loopback Stream; 6416; 30024] CallLibrary End
2024-06-28 12:10:31; INFO; Loopback Stream; 6416; 2272] CallLibrary Start
2024-06-28 12:10:31; INFO; Loopback Stream; 6416; 2272] CallLibrary End
