2024-07-07 05:37:49; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-07 05:37:49; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:7
2024-07-07 05:37:49; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-07 05:37:51; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 05:37:51; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 12:57:53; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 12:57:53; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 12:57:53; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-07 12:57:53; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-07 12:57:53; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-07 12:57:53; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] Becuase bitlocker status is the same, does not need to notify bios

2024-07-07 12:57:54; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-07 12:57:54; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 12:57:54; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 12:57:54; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 12:57:54; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 12:57:55; INFO; Loopback Stream; 12252; 11080] CallLibrary Start
2024-07-07 12:57:55; INFO; Loopback Stream; 12252; 11080] CallLibrary End
2024-07-07 12:57:55; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 12:57:55; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 12:57:55; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] open display notiy bios bitlocker status
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-07 12:57:55; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-07 12:57:56; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 12:57:56; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 12:58:00; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-07 12:58:00; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:8
2024-07-07 12:58:00; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] SessionChange-Login notify bitlocker status
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-07 12:58:00; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-07 12:58:18; INFO; Loopback Stream; 12252; 29120] CallLibrary Start
2024-07-07 12:58:18; INFO; Loopback Stream; 12252; 29120] CallLibrary End
2024-07-07 12:58:48; INFO; Loopback Stream; 12252; 17900] CallLibrary Start
2024-07-07 12:58:48; INFO; Loopback Stream; 12252; 17900] CallLibrary End
2024-07-07 12:59:18; INFO; Loopback Stream; 12252; 15596] CallLibrary Start
2024-07-07 12:59:18; INFO; Loopback Stream; 12252; 15596] CallLibrary End
2024-07-07 12:59:40; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 12:59:40; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 12:59:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 12:59:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 12:59:48; INFO; Loopback Stream; 12252; 19180] CallLibrary Start
2024-07-07 12:59:48; INFO; Loopback Stream; 12252; 19180] CallLibrary End
2024-07-07 13:00:18; INFO; Loopback Stream; 12252; 1268] CallLibrary Start
2024-07-07 13:00:18; INFO; Loopback Stream; 12252; 1268] CallLibrary End
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 13:00:48; INFO; Loopback Stream; 12252; 32588] CallLibrary Start
2024-07-07 13:00:48; INFO; Throttle Plugin; 12252; 32588] DisplayThrottleOSD: OSDType 1, OSDMessage 255, PopToast 1, Result 1
2024-07-07 13:00:48; INFO; Loopback Stream; 12252; 32588] CallLibrary End
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 13:00:48; INFO; Loopback Stream; 12252; 28692] CallLibrary Start
2024-07-07 13:00:48; INFO; Loopback Stream; 12252; 28692] CallLibrary End
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage Start
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage End
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage Start
2024-07-07 13:00:48; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage End
2024-07-07 13:00:49; INFO; GameVisual Plugin; 12252; 14104] GameVisualPlugin::ResetGVMode(): ResetGVMode() reason = WM_DISPLAYCHANGE
2024-07-07 13:00:49; ERROR; GameVisual Plugin; 12252; 14104] GameVisualPlugin::QueryDispConf(): GetDisplayConfigBufferSizes return 0x00000000

2024-07-07 13:00:49; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage Start
2024-07-07 13:00:49; INFO; User Session Manager; 12252; 12096] OnRegisteredWindowMessage End
2024-07-07 13:00:50; ERROR; GameVisual Plugin; 12252; 14104] GameVisualPlugin::QueryDispConf(): GetDisplayConfigBufferSizes return 0x00000000

2024-07-07 13:00:50; INFO; GameVisual Plugin; 12252; 14104] GameVisualPlugin::GetIsGameVisualSupportedCurrentDisplayTopology(): topology_id = 1
2024-07-07 13:00:50; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-07 13:00:50; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-07 13:00:50; INFO; GameVisual Plugin; 12252; 14104] GameVisualPlugin::ResetGVMode(): RequestSplendid(200, 0, 50) Result = 0
2024-07-07 13:00:50; INFO; GameVisual Plugin; 12252; 14104] GameVisualPlugin::ResetGVMode(): SetGVModeCoreNoCheck(11) Result = 0
2024-07-07 13:01:18; INFO; Loopback Stream; 12252; 30420] CallLibrary Start
2024-07-07 13:01:18; INFO; Loopback Stream; 12252; 30420] CallLibrary End
2024-07-07 13:01:48; INFO; Loopback Stream; 12252; 21732] CallLibrary Start
2024-07-07 13:01:48; INFO; Loopback Stream; 12252; 21732] CallLibrary End
2024-07-07 13:02:18; INFO; Loopback Stream; 12252; 30784] CallLibrary Start
2024-07-07 13:02:18; INFO; Loopback Stream; 12252; 30784] CallLibrary End
2024-07-07 13:02:48; INFO; Loopback Stream; 12252; 1300] CallLibrary Start
2024-07-07 13:02:48; INFO; Loopback Stream; 12252; 1300] CallLibrary End
2024-07-07 13:03:18; INFO; Loopback Stream; 12252; 26700] CallLibrary Start
2024-07-07 13:03:18; INFO; Loopback Stream; 12252; 26700] CallLibrary End
2024-07-07 13:03:48; INFO; Loopback Stream; 12252; 32780] CallLibrary Start
2024-07-07 13:03:48; INFO; Loopback Stream; 12252; 32780] CallLibrary End
2024-07-07 13:04:10; WARNING; AEF Core; 12252; 15584] Get Asus Device Change Message msg:7, device:64, modelname:FX506HE, id:
2024-07-07 13:04:10; INFO; Aura Pluing; 12252; 15584] CallLibrary Start
2024-07-07 13:04:10; INFO; Aura Pluing; 12252; 15584] CallLibrary End
2024-07-07 13:04:18; INFO; Loopback Stream; 12252; 28788] CallLibrary Start
2024-07-07 13:04:18; INFO; Loopback Stream; 12252; 28788] CallLibrary End
2024-07-07 13:04:48; INFO; Loopback Stream; 12252; 7044] CallLibrary Start
2024-07-07 13:04:48; INFO; Loopback Stream; 12252; 7044] CallLibrary End
2024-07-07 13:05:18; INFO; Loopback Stream; 12252; 11244] CallLibrary Start
2024-07-07 13:05:18; INFO; Loopback Stream; 12252; 11244] CallLibrary End
2024-07-07 13:05:48; INFO; Loopback Stream; 12252; 29508] CallLibrary Start
2024-07-07 13:05:48; INFO; Loopback Stream; 12252; 29508] CallLibrary End
2024-07-07 13:05:48; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 13:05:48; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 13:06:18; INFO; Loopback Stream; 12252; 27228] CallLibrary Start
2024-07-07 13:06:18; INFO; Loopback Stream; 12252; 27228] CallLibrary End
2024-07-07 13:06:48; INFO; Loopback Stream; 12252; 1064] CallLibrary Start
2024-07-07 13:06:48; INFO; Loopback Stream; 12252; 1064] CallLibrary End
2024-07-07 13:07:18; INFO; Loopback Stream; 12252; 6452] CallLibrary Start
2024-07-07 13:07:18; INFO; Loopback Stream; 12252; 6452] CallLibrary End
2024-07-07 13:07:48; INFO; Loopback Stream; 12252; 32268] CallLibrary Start
2024-07-07 13:07:48; INFO; Loopback Stream; 12252; 32268] CallLibrary End
2024-07-07 13:08:18; INFO; Loopback Stream; 12252; 14276] CallLibrary Start
2024-07-07 13:08:18; INFO; Loopback Stream; 12252; 14276] CallLibrary End
2024-07-07 13:08:48; INFO; Loopback Stream; 12252; 24940] CallLibrary Start
2024-07-07 13:08:48; INFO; Loopback Stream; 12252; 24940] CallLibrary End
2024-07-07 13:09:18; INFO; Loopback Stream; 12252; 30608] CallLibrary Start
2024-07-07 13:09:18; INFO; Loopback Stream; 12252; 30608] CallLibrary End
2024-07-07 13:09:48; INFO; Loopback Stream; 12252; 25780] CallLibrary Start
2024-07-07 13:09:48; INFO; Loopback Stream; 12252; 25780] CallLibrary End
2024-07-07 13:10:18; INFO; Loopback Stream; 12252; 29420] CallLibrary Start
2024-07-07 13:10:18; INFO; Loopback Stream; 12252; 29420] CallLibrary End
2024-07-07 13:10:48; INFO; Loopback Stream; 12252; 32856] CallLibrary Start
2024-07-07 13:10:48; INFO; Loopback Stream; 12252; 32856] CallLibrary End
2024-07-07 13:11:18; INFO; Loopback Stream; 12252; 30336] CallLibrary Start
2024-07-07 13:11:18; INFO; Loopback Stream; 12252; 30336] CallLibrary End
2024-07-07 13:11:48; INFO; Loopback Stream; 12252; 8300] CallLibrary Start
2024-07-07 13:11:48; INFO; Loopback Stream; 12252; 8300] CallLibrary End
2024-07-07 13:12:18; INFO; Loopback Stream; 12252; 30736] CallLibrary Start
2024-07-07 13:12:18; INFO; Loopback Stream; 12252; 30736] CallLibrary End
2024-07-07 13:12:48; INFO; Loopback Stream; 12252; 31600] CallLibrary Start
2024-07-07 13:12:48; INFO; Loopback Stream; 12252; 31600] CallLibrary End
2024-07-07 13:13:18; INFO; Loopback Stream; 12252; 21724] CallLibrary Start
2024-07-07 13:13:18; INFO; Loopback Stream; 12252; 21724] CallLibrary End
2024-07-07 13:13:48; INFO; Loopback Stream; 12252; 11416] CallLibrary Start
2024-07-07 13:13:48; INFO; Loopback Stream; 12252; 11416] CallLibrary End
2024-07-07 13:14:18; INFO; Loopback Stream; 12252; 18548] CallLibrary Start
2024-07-07 13:14:18; INFO; Loopback Stream; 12252; 18548] CallLibrary End
2024-07-07 13:14:48; INFO; Loopback Stream; 12252; 25944] CallLibrary Start
2024-07-07 13:14:48; INFO; Loopback Stream; 12252; 25944] CallLibrary End
2024-07-07 13:15:18; INFO; Loopback Stream; 12252; 27032] CallLibrary Start
2024-07-07 13:15:18; INFO; Loopback Stream; 12252; 27032] CallLibrary End
2024-07-07 13:15:48; INFO; Loopback Stream; 12252; 29124] CallLibrary Start
2024-07-07 13:15:48; INFO; Loopback Stream; 12252; 29124] CallLibrary End
2024-07-07 13:16:18; INFO; Loopback Stream; 12252; 14948] CallLibrary Start
2024-07-07 13:16:18; INFO; Loopback Stream; 12252; 14948] CallLibrary End
2024-07-07 13:16:48; INFO; Loopback Stream; 12252; 29204] CallLibrary Start
2024-07-07 13:16:48; INFO; Loopback Stream; 12252; 29204] CallLibrary End
2024-07-07 13:17:07; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 13:17:07; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 13:17:07; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-07 13:17:07; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-07 13:17:18; INFO; Loopback Stream; 12252; 28336] CallLibrary Start
2024-07-07 13:17:18; INFO; Loopback Stream; 12252; 28336] CallLibrary End
2024-07-07 13:17:48; INFO; Loopback Stream; 12252; 21624] CallLibrary Start
2024-07-07 13:17:48; INFO; Loopback Stream; 12252; 21624] CallLibrary End
2024-07-07 13:18:18; INFO; Loopback Stream; 12252; 11580] CallLibrary Start
2024-07-07 13:18:18; INFO; Loopback Stream; 12252; 11580] CallLibrary End
2024-07-07 13:18:48; INFO; Loopback Stream; 12252; 29620] CallLibrary Start
2024-07-07 13:18:48; INFO; Loopback Stream; 12252; 29620] CallLibrary End
2024-07-07 13:19:18; INFO; Loopback Stream; 12252; 27724] CallLibrary Start
2024-07-07 13:19:18; INFO; Loopback Stream; 12252; 27724] CallLibrary End
2024-07-07 13:19:48; INFO; Loopback Stream; 12252; 29724] CallLibrary Start
2024-07-07 13:19:48; INFO; Loopback Stream; 12252; 29724] CallLibrary End
2024-07-07 13:20:18; INFO; Loopback Stream; 12252; 26616] CallLibrary Start
2024-07-07 13:20:18; INFO; Loopback Stream; 12252; 26616] CallLibrary End
2024-07-07 13:20:48; INFO; Loopback Stream; 12252; 28420] CallLibrary Start
2024-07-07 13:20:48; INFO; Loopback Stream; 12252; 28420] CallLibrary End
2024-07-07 13:21:18; INFO; Loopback Stream; 12252; 2984] CallLibrary Start
2024-07-07 13:21:18; INFO; Loopback Stream; 12252; 2984] CallLibrary End
2024-07-07 13:21:48; INFO; Loopback Stream; 12252; 32468] CallLibrary Start
2024-07-07 13:21:48; INFO; Loopback Stream; 12252; 32468] CallLibrary End
2024-07-07 13:22:18; INFO; Loopback Stream; 12252; 29156] CallLibrary Start
2024-07-07 13:22:18; INFO; Loopback Stream; 12252; 29156] CallLibrary End
2024-07-07 13:22:48; INFO; Loopback Stream; 12252; 32624] CallLibrary Start
2024-07-07 13:22:48; INFO; Loopback Stream; 12252; 32624] CallLibrary End
2024-07-07 13:23:18; INFO; Loopback Stream; 12252; 6376] CallLibrary Start
2024-07-07 13:23:18; INFO; Loopback Stream; 12252; 6376] CallLibrary End
2024-07-07 13:23:48; INFO; Loopback Stream; 12252; 7024] CallLibrary Start
2024-07-07 13:23:48; INFO; Loopback Stream; 12252; 7024] CallLibrary End
2024-07-07 13:24:18; INFO; Loopback Stream; 12252; 28960] CallLibrary Start
2024-07-07 13:24:18; INFO; Loopback Stream; 12252; 28960] CallLibrary End
2024-07-07 13:24:48; INFO; Loopback Stream; 12252; 28624] CallLibrary Start
2024-07-07 13:24:48; INFO; Loopback Stream; 12252; 28624] CallLibrary End
2024-07-07 13:25:18; INFO; Loopback Stream; 12252; 29008] CallLibrary Start
