2024-07-05 10:12:31; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-05 10:12:31; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:8
2024-07-05 10:12:31; INFO; Utility Plugin; 12252; 12652] SessionChange-Login notify bitlocker status
2024-07-05 10:12:31; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:12:31; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:12:31; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:12:31; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 10:12:32; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 10:12:39; INFO; Loopback Stream; 12252; 19416] CallLibrary Start
2024-07-05 10:12:39; INFO; Loopback Stream; 12252; 19416] CallLibrary End
2024-07-05 10:13:09; INFO; Loopback Stream; 12252; 2264] CallLibrary Start
2024-07-05 10:13:09; INFO; Loopback Stream; 12252; 2264] CallLibrary End
2024-07-05 10:13:39; INFO; Loopback Stream; 12252; 22712] CallLibrary Start
2024-07-05 10:13:39; INFO; Loopback Stream; 12252; 22712] CallLibrary End
2024-07-05 10:14:09; INFO; Loopback Stream; 12252; 23404] CallLibrary Start
2024-07-05 10:14:09; INFO; Loopback Stream; 12252; 23404] CallLibrary End
2024-07-05 10:14:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 10:14:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 10:14:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 10:14:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 10:14:39; INFO; Loopback Stream; 12252; 9440] CallLibrary Start
2024-07-05 10:14:39; INFO; Loopback Stream; 12252; 9440] CallLibrary End
2024-07-05 10:15:09; INFO; Loopback Stream; 12252; 24968] CallLibrary Start
2024-07-05 10:15:09; INFO; Loopback Stream; 12252; 24968] CallLibrary End
2024-07-05 10:15:39; INFO; Loopback Stream; 12252; 26400] CallLibrary Start
2024-07-05 10:15:39; INFO; Loopback Stream; 12252; 26400] CallLibrary End
2024-07-05 10:16:09; INFO; Loopback Stream; 12252; 20744] CallLibrary Start
2024-07-05 10:16:09; INFO; Loopback Stream; 12252; 20744] CallLibrary End
2024-07-05 10:16:39; INFO; Loopback Stream; 12252; 25344] CallLibrary Start
2024-07-05 10:16:39; INFO; Loopback Stream; 12252; 25344] CallLibrary End
2024-07-05 10:17:09; INFO; Loopback Stream; 12252; 21584] CallLibrary Start
2024-07-05 10:17:09; INFO; Loopback Stream; 12252; 21584] CallLibrary End
2024-07-05 10:17:17; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 10:17:17; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 10:17:39; INFO; Loopback Stream; 12252; 2900] CallLibrary Start
2024-07-05 10:17:39; INFO; Loopback Stream; 12252; 2900] CallLibrary End
2024-07-05 10:18:09; INFO; Loopback Stream; 12252; 992] CallLibrary Start
2024-07-05 10:18:09; INFO; Loopback Stream; 12252; 992] CallLibrary End
