2024-07-10 00:33:54; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-10 00:33:54; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-10 15:36:10; INFO; Aura Pluing; 12252; 13264] [AuraListener] DataCollection24hr Trigger data collection !!
2024-07-10 15:36:10; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-10 15:36:10; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-10 15:36:10; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-10 15:36:10; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-10 15:36:10; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-10 15:36:10; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-10 15:36:11; INFO; Aura Pluing; 12252; 13264] Start InsertData to UserBehavior.
2024-07-10 15:36:11; INFO; Aura Pluing; 12252; 13264] CallLibrary Start
2024-07-10 15:36:11; INFO; Aura Pluing; 12252; 13264] CallLibrary End
2024-07-10 15:36:11; INFO; Aura Pluing; 12252; 13264] CallLibrary Start
2024-07-10 15:36:11; INFO; Aura Pluing; 12252; 13264] CallLibrary End
2024-07-10 15:36:11; ERROR; Aura Pluing; 12252; 13264] End InsertData to AuraPlugin, result:0x80004005.
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] Becuase bitlocker status is the same, does not need to notify bios

2024-07-10 15:36:11; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-10 15:36:11; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-10 15:36:11; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-10 15:36:11; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-10 15:36:11; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-10 15:36:11; INFO; Loopback Stream; 12252; 27968] CallLibrary Start
2024-07-10 15:36:11; INFO; Loopback Stream; 12252; 27968] CallLibrary End
2024-07-10 15:36:12; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-10 15:36:12; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-10 15:36:12; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-10 15:36:12; INFO; Utility Plugin; 12252; 12652] open display notiy bios bitlocker status
2024-07-10 15:36:12; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-10 15:36:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-10 15:36:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-10 15:36:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
