2024-07-03 14:30:12; INFO; Aura Pluing; 12252; 13264] [AuraListener] DataCollection24hr Trigger data collection !!
2024-07-03 14:30:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-03 14:30:12; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-03 14:30:12; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-03 14:30:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-03 14:30:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-03 14:30:12; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-03 14:30:13; INFO; Aura Pluing; 12252; 13264] Start InsertData to UserBehavior.
2024-07-03 14:30:13; INFO; Aura Pluing; 12252; 13264] CallLibrary Start
2024-07-03 14:30:13; INFO; Aura Pluing; 12252; 13264] CallLibrary End
2024-07-03 14:30:13; INFO; Aura Pluing; 12252; 13264] CallLibrary Start
2024-07-03 14:30:13; INFO; Aura Pluing; 12252; 13264] CallLibrary End
2024-07-03 14:30:13; ERROR; Aura Pluing; 12252; 13264] End InsertData to AuraPlugin, result:0x80004005.
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] Becuase bitlocker status is the same, does not need to notify bios

2024-07-03 14:30:13; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
