2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-09 11:54:46; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-09 11:54:47; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-09 11:54:47; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-09 11:54:51; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-09 11:54:51; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-09 11:54:51; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:8
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] SessionChange-Login notify bitlocker status
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-09 11:54:51; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
