2024-06-26 11:20:17; INFO; User Session Manager; 6416; 5828] OnSessionChange Start
2024-06-26 11:20:17; ERROR; SoulKey Plugin; 6416; 11676] UserSession:1, OnSessionChange: Event:7
2024-06-26 11:20:17; INFO; User Session Manager; 6416; 5828] OnSessionChange End
2024-06-26 11:20:18; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-26 11:20:18; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-26 23:31:53; INFO; Aura Pluing; 6416; 11300] [AuraListener] DataCollection24hr Trigger data collection !!
2024-06-26 23:31:53; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-26 23:31:53; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-26 23:31:53; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-26 23:31:53; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-26 23:31:53; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-26 23:31:53; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-26 23:31:53; INFO; Aura Pluing; 6416; 11300] Start InsertData to UserBehavior.
2024-06-26 23:31:53; INFO; Aura Pluing; 6416; 11300] CallLibrary Start
2024-06-26 23:31:53; INFO; Aura Pluing; 6416; 11300] CallLibrary End
2024-06-26 23:31:53; INFO; Aura Pluing; 6416; 11300] CallLibrary Start
2024-06-26 23:31:54; INFO; Aura Pluing; 6416; 11300] CallLibrary End
2024-06-26 23:31:54; ERROR; Aura Pluing; 6416; 11300] End InsertData to AuraPlugin, result:0x80004005.
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] Becuase bitlocker status is the same, does not need to notify bios

2024-06-26 23:31:54; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-26 23:31:54; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-26 23:31:54; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-26 23:31:54; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-26 23:31:54; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-26 23:31:54; INFO; Loopback Stream; 6416; 33516] CallLibrary Start
2024-06-26 23:31:54; INFO; Loopback Stream; 6416; 33516] CallLibrary End
2024-06-26 23:31:55; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-26 23:31:55; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-26 23:31:55; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] open display notiy bios bitlocker status
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-26 23:31:55; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-26 23:31:58; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-26 23:31:58; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-26 23:32:00; INFO; User Session Manager; 6416; 5828] OnSessionChange Start
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] SessionChange-Login notify bitlocker status
2024-06-26 23:32:00; INFO; User Session Manager; 6416; 5828] OnSessionChange End
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-26 23:32:00; ERROR; SoulKey Plugin; 6416; 11676] UserSession:1, OnSessionChange: Event:8
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-26 23:32:00; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-26 23:32:18; INFO; Loopback Stream; 6416; 28352] CallLibrary Start
2024-06-26 23:32:18; INFO; Loopback Stream; 6416; 28352] CallLibrary End
2024-06-26 23:32:48; INFO; Loopback Stream; 6416; 21264] CallLibrary Start
2024-06-26 23:32:48; INFO; Loopback Stream; 6416; 21264] CallLibrary End
2024-06-26 23:33:18; INFO; Loopback Stream; 6416; 19092] CallLibrary Start
2024-06-26 23:33:18; INFO; Loopback Stream; 6416; 19092] CallLibrary End
2024-06-26 23:33:41; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
