2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-30 21:12:38; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-30 21:12:53; INFO; Loopback Stream; 6416; 33648] CallLibrary Start
2024-06-30 21:12:53; INFO; Loopback Stream; 6416; 33648] CallLibrary End
2024-06-30 21:12:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:12:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:13:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:13:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:01; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:13:01; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:02; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:13:02; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:02; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:13:02; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:13:23; INFO; Loopback Stream; 6416; 35548] CallLibrary Start
2024-06-30 21:13:23; INFO; Loopback Stream; 6416; 35548] CallLibrary End
